Batting Order,Nickname,Position,Team,Opponent,Home,Game,SO,Field Outs,BB,HPB,1B,2B,3B,HR,Durability,adv1B
,Shane McClanahan,P,TB,LAA,TB,LAA@TB,0.3215613383,0.4460966543,0.05390334572,0.005576208178,0.1226765799,0.02230483271,0,0.02788104089,23,
,Zac Gallen,P,ARI,KC,KC,ARI@KC,0.2514285714,0.4819047619,0.06666666667,0.02285714286,0.1104761905,0.04571428571,0,0.02095238095,22,
,Framber Valdez,P,HOU,MIN,HOU,MIN@HOU,0.2203947368,0.4819078947,0.08552631579,0.01809210526,0.1513157895,0.02960526316,0.001644736842,0.01151315789,26,
,Miles Mikolas,P,STL,CHC,CHC,STL@CHC,0.1881977671,0.5454545455,0.04465709729,0.00956937799,0.1451355662,0.03827751196,0.001594896332,0.02711323764,25,
,Andrew Heaney,P,LAD,MIL,LAD,MIL@LAD,0.3421052632,0.3815789474,0.07236842105,0.03289473684,0.07894736842,0.05921052632,0.006578947368,0.02631578947,19,
,Brady Singer,P,KC,ARI,KC,ARI@KC,0.2561797753,0.4449438202,0.06516853933,0.01573033708,0.1595505618,0.02696629213,0.002247191011,0.02921348315,22,
,Lucas Giolito,P,CWS,BAL,BAL,CWS@BAL,0.2588235294,0.3901960784,0.0862745098,0.001960784314,0.1666666667,0.05490196078,0.003921568627,0.03725490196,23,
,Jose Berrios,P,TOR,BOS,BOS,TOR@BOS,0.2093023256,0.4597495528,0.0572450805,0.01610017889,0.1645796064,0.04472271914,0.001788908766,0.04651162791,23,
,Adrian Houser,P,MIL,LAD,LAD,MIL@LAD,0.1696428571,0.494047619,0.09226190476,0,0.1696428571,0.04464285714,0.005952380952,0.02380952381,22,
,Spenser Watkins,P,BAL,CWS,BAL,CWS@BAL,0.1432835821,0.5373134328,0.06567164179,0.008955223881,0.152238806,0.06268656716,0.002985074627,0.02686567164,19,
,Dylan Bundy,P,MIN,HOU,HOU,MIN@HOU,0.1770114943,0.5264367816,0.05057471264,0.004597701149,0.1540229885,0.04827586207,0.004597701149,0.03448275862,20,
,Brayan Bello,P,BOS,TOR,BOS,TOR@BOS,0.1764705882,0.3529411765,0.1274509804,0.01960784314,0.1862745098,0.1078431373,0.01960784314,0.009803921569,17,
,Cristopher Sanchez,P,PHI,CIN,PHI,CIN@PHI,0.1862745098,0.5196078431,0.09803921569,0.02941176471,0.1176470588,0.01960784314,0,0.02941176471,9,
,Mike Mayers,P,LAA,TB,TB,LAA@TB,0.2125984252,0.4724409449,0.07086614173,0.0157480315,0.1181102362,0.04724409449,0,0.06299212598,7,
